127.0.0.1 - - [28/Jul/2019:20:41:54 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/css/plugins.css;jsessionid=6C0AB08B1340A93547241F659E95838F HTTP/1.1" 200 759220
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/css/header_style.css;jsessionid=6C0AB08B1340A93547241F659E95838F HTTP/1.1" 200 186458
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/css/hm_css.css;jsessionid=6C0AB08B1340A93547241F659E95838F HTTP/1.1" 200 9514
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/ HTTP/1.1" 200 48758
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/css/modifyplugins.css;jsessionid=6C0AB08B1340A93547241F659E95838F HTTP/1.1" 200 5677
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/images/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/css/yj_style.css;jsessionid=6C0AB08B1340A93547241F659E95838F HTTP/1.1" 200 11828
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/js/jquery.js;jsessionid=6C0AB08B1340A93547241F659E95838F HTTP/1.1" 200 277412
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/js/plugins.js;jsessionid=6C0AB08B1340A93547241F659E95838F HTTP/1.1" 200 582047
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/js/plugins2.js;jsessionid=6C0AB08B1340A93547241F659E95838F HTTP/1.1" 200 56394
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/images/uploads/slider1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/js/header_custom.js;jsessionid=6C0AB08B1340A93547241F659E95838F HTTP/1.1" 200 15000
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/js/hm_js.js;jsessionid=6C0AB08B1340A93547241F659E95838F HTTP/1.1" 200 19902
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:57 +0900] "GET /movie/resources/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:58 +0900] "GET /movie/resources/css/ajax-loader.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:41:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "POST /movie/Login.do HTTP/1.1" 200 48523
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/css/plugins.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/css/header_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/css/hm_css.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/css/modifyplugins.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/css/yj_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/js/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/js/plugins2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/js/header_custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/js/hm_js.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:21 +0900] "GET /movie/resources/css/ajax-loader.gif HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:28 +0900] "GET /movie/boardFreeUpdate.do HTTP/1.1" 500 4602
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:42:50 +0900] "GET /movie/boardFreeUpdate.do?num=8 HTTP/1.1" 500 4602
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:43:00 +0900] "GET /movie/boardFreeUpdate.do?bf_bno=8 HTTP/1.1" 200 11469
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:43:00 +0900] "GET /movie/resources/css/ws_personal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:43:00 +0900] "GET /movie/resources/images/uploads/user-hero-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:59:57 +0900] "GET /movie/boardFreeList.do HTTP/1.1" 200 40927
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:59:57 +0900] "GET /movie/resources/css/ws_personal.css?Ver=4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2019:20:59:58 +0900] "GET /movie/resources/css/ajax-loader.gif HTTP/1.1" 404 1121
